time;lat;lng;alt;voltage;current;level;pitch;yaw;roll;vx;vy;vz;fixtype;satellitesvisible;heading;groundspeed;airspeed
81.0;-22.0059368;-47.8987308;0.67;0.0;0.0;100.0;0.02038382552564144;1.448212742805481;-0.012808619067072868;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
82.0;-22.0059364;-47.8987304;0.63;0.0;0.0;100.0;0.020316127687692642;1.447925329208374;-0.012813973240554333;-0.01;-0.01;0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
83.0;-22.0059362;-47.8987299;0.62;0.0;0.0;100.0;0.020452484488487244;1.4475666284561157;-0.01293462049216032;-0.01;-0.01;0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
84.0;-22.005936;-47.8987294;0.6;0.0;0.0;100.0;0.02057754620909691;1.4475358724594116;-0.012833225540816784;-0.01;-0.01;0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
85.0;-22.0059361;-47.8987292;0.61;0.0;0.0;100.0;0.020286761224269867;1.447266697883606;-0.013005723245441914;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
86.0;-22.0059362;-47.8987289;0.61;0.0;0.0;100.0;0.020230792462825775;1.448187232017517;-0.012932788580656052;0.01;-0.01;-0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
87.0;-22.0059364;-47.8987287;0.62;0.0;0.0;100.0;0.02017609402537346;1.4485703706741333;-0.012695855461061;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
88.0;-22.0059369;-47.8987286;0.57;0.0;0.0;100.0;0.02025778219103813;1.4478379487991333;-0.012859652750194073;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
89.0;-22.0059374;-47.8987286;0.6;0.0;0.0;100.0;0.020037224516272545;1.4479196071624756;-0.012995819561183453;-0.01;0.0;0.01;3;9;82.0;0.009999999776482582;0.009999999776482582
90.0;-22.0059382;-47.8987287;0.6;0.0;0.0;100.0;0.019960826262831688;1.4478998184204102;-0.012820081785321236;0.0;0.0;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
91.0;-22.0059388;-47.8987288;0.61;0.0;0.0;100.0;0.01990519091486931;1.4478027820587158;-0.012746797874569893;0.0;-0.01;0.0;3;9;82.0;0.009999999776482582;0.009999999776482582
